asset_code,file_name,storage_path,display_name_no,category,theme,subtheme,slug,needs_review,alt_text_no,alt_text_en,alt_text_pl,alt_text_ar
701,701.jpg,signs/direction/701.jpg,Vegvisning,direction,wayfinding,wayfinding,701,True,Vegvisning,,,
703,703.jpg,signs/direction/703.jpg,Retningsskilt,direction,wayfinding,wayfinding,703,True,Retningsskilt,,,
705,705.jpg,signs/direction/705.jpg,Retningsskilt motorveg,direction,wayfinding,wayfinding,705,True,Retningsskilt motorveg,,,
707,707.jpg,signs/direction/707.jpg,Avkjøringsskilt,direction,wayfinding,wayfinding,707,True,Avkjøringsskilt,,,
709,709.jpg,signs/direction/709.jpg,Feltvisning / vegvisning,direction,wayfinding,wayfinding,709,True,Feltvisning / vegvisning,,,
711,711.jpg,signs/direction/711.jpg,Portalvisning / felt,direction,wayfinding,wayfinding,711,True,Portalvisning / felt,,,
713,713.jpg,signs/direction/713.jpg,Vegvisning motorveg / felt,direction,wayfinding,wayfinding,713,True,Vegvisning motorveg / felt,,,
717,717.jpg,signs/direction/717.jpg,Stor vegvisning / motorveg,direction,wayfinding,wayfinding,717,True,Stor vegvisning / motorveg,,,
719,719.jpg,signs/direction/719.jpg,Forvarsling avkjøring,direction,wayfinding,wayfinding,719,True,Forvarsling avkjøring,,,
723_11,723_11.jpg,signs/direction/723_11.jpg,Europaveg E6,direction,wayfinding,wayfinding,723_11,False,Europaveg E6,,,
723_12,723_12.jpg,signs/direction/723_12.jpg,Europaveg symbol,direction,wayfinding,wayfinding,723_12,True,Europaveg symbol,,,
723_13,723_13.jpg,signs/direction/723_13.jpg,Riksveg 5,direction,wayfinding,wayfinding,723_13,False,Riksveg 5,,,
723_14,723_14.jpg,signs/direction/723_14.jpg,Fylkesveg 5,direction,wayfinding,wayfinding,723_14,False,Fylkesveg 5,,,
723_15,723_15.jpg,signs/direction/723_15.jpg,Riksveg 116,direction,wayfinding,wayfinding,723_15,False,Riksveg 116,,,
723_16,723_16.jpg,signs/direction/723_16.jpg,Fylkesveg 116,direction,wayfinding,wayfinding,723_16,False,Fylkesveg 116,,,
723_21,723_21.jpg,signs/direction/723_21.jpg,Ring 3,direction,wayfinding,wayfinding,723_21,False,Ring 3,,,
723_22,723_22.jpg,signs/direction/723_22.jpg,Ring 3 variant,direction,wayfinding,wayfinding,723_22,False,Ring 3 variant,,,
723_31,723_31.jpg,signs/direction/723_31.jpg,Vegnummer / rutesymbol,direction,wayfinding,wayfinding,723_31,True,Vegnummer / rutesymbol,,,
723_41,723_41.jpg,signs/direction/723_41.jpg,Kjøretøysymbol lastebil,direction,wayfinding,wayfinding,723_41,True,Kjøretøysymbol lastebil,,,
723_51,723_51.jpg,signs/direction/723_51.jpg,Farlig gods / ADR,direction,wayfinding,wayfinding,723_51,True,Farlig gods / ADR,,,
